34,Perder el tiempo que disfruto no es tiempo perdido, Marta Troly,La Vida
35,Aquellos que no se mueven no notan sus cadenas, Rosa Luxemburgo,La Vida
36,Deja de pensar en la vida y resuélvete a vivirla, Paulo Coelho,La Vida
37,"No hay lugar donde ir salvo a cualquier parte, así que sigue caminando", Jack Kerouac,La Vida
38,Saber lo que hay que hacer elimina el miedo, Rosa Parks,La Vida
39,Sólo aquellos que se arriesgan a caer pueden conseguir grandes cosas, Robert F. Kennedy,La Vida
40,"El éxito no es el final, el fracaso no es fatal: es el coraje por seguir lo que cuenta", Winston S. Churchill,La Vida
41,"La vida es como una bicicleta: si quieres mantener el equilibrio, pedalea hacia delante", Albert Einstein,La Vida
42,Convierte siempre una situación negativa en una positiva, Michael Jordan,La Vida
43,"Aprendí que no se puede dar marcha atrás, que la esencia de la vida es ir hacia adelante", Agatha Christie,La Vida
44,Un sólo pensamiento positivo por la mañana puede iluminar todo un día, Dalai Lama,La Vida
45,Con el nuevo día llega nueva fuerza y nuevos pensamientos, Eleanor Roosevelt,La Vida
46,Todos tus sueños se harán realidad si tienes el coraje de perseguirlos, Walt Disney,La Vida
47,Deja marcado en tu corazón que cada día es el mejor día del año, Ralph Waldo Emerson,La Vida
48,Que no te avergüencen tus fracasos. Aprende de ellos y vuelve a empezar, Richard Branson,La Vida
49,"Recuerda que sólo porque tocaste fondo, no significa que tengas que quedarte allí", Robert Downey Jr,La Vida
50,La única diferencia entre el éxito y el fracaso es la capacidad de actuar, Alexander Graham Bell,La Vida
51,"Si puedes cambiar tu mente, puedes cambiar el mundo", William James,La Vida
52,El fracaso es la oportunidad de comenzar de nuevo con más inteligencia, Henry Ford,La Vida
53,El sentido común no es resultado de la educación, Victor Hugo,Educación
54,La educación es el arte de hacer visibles las cosas invisibles, Jean-François Lyotard,Educación
55,"No todos los lectores son líderes, pero todos los lectores se convierten en líderes", Harry S. Truman,Educación
56,"Quien se atreve a enseñar, nunca debe dejar de aprender", John Cotton Dana,Educación
57,"Por la ignorancia nos equivocamos, y por las equivocaciones aprendemos", Proverbio romano,Educación
58,La educación es el vestido de gala para asistir a la fiesta de la vida, Miguel Rojas Sánchez,Educación
59,A menudo damos a los niños respuestas que recordar en lugar de problemas a resolver, Roger Lewin,Educación
60,"La enseñanza que deja huella no es la que se hace de cabeza a cabeza, sino de corazón a corazón", Howard G. Hendricks,Educación
61,Educar la mente sin educar el corazón no es educación en absoluto, Aristóteles,Educación
62,La educación es el único camino para escapar de la esclavitud mental, Frederick Douglass,Educación
63,Un niño con falta de educación es un niño perdido," John F, Kennedy",Educación
64,Un ser humano no alcanza sus cotas más altas hasta que está educado, Horace Mann,Educación
65,"Antes de hablar, piensa; pero antes de pensar, lee", Frances Ann Lebowitz,Educación
66,"La sabiduría no es producto de la escolarización, sino de un intento a lo largo de la vida de adquirirlo", Albert Einstein,Educación
67,El estudio sin deseo estropea la memoria y no retiene nada de lo que toma, Leonardo da Vinci,Educación
68,La vida debe ser una incesante educación, Gustave Flaubert,Educación
69,El conocimiento te dará la oportunidad de marcar una diferencia, Claire Fagin,Educación
70,Toda vida es una constante educación, Eleanor Roosevelt,Educación
71,"Las plantas las endereza el cultivo; a los hombres, la educación", J.J. Rousseau,Educación
72,"La clave de la educación no es enseñar, es despertar", Ernest Renan,Educación
73,La educación es el acto de despertar la curiosidad de la mente y alimentarla, Bob Dylan,Educación
74,La educación es el cimiento sobre el cual construimos nuestro futuro, Christine Gregoire,Educación
75,"La educación es el proceso en el que descubrimos que, aprendiendo, aprendemos a aprender", José Saramago,Educación
76,La educación no es preparación para la vida; la educación es la vida en sí misma, John Dewey,Educación
77,"Pensar es fácil, actuar es difícil, y poner los pensamientos de uno mismo en acción es lo más difícil del mundo", Goethe,Educación
78,Debes de estar dispuesto a ser un principiante cada una de tus mañanas, Meister Eckhart,Educación
79,Enseñar es aprender dos veces, Joseph Joubert,Educación
80,La educación es el arma más poderosa que puedes usar para cambiar el mundo, Nelson Mandela,Educación
81,"Los niños tienen que ser enseñados sobre cómo pensar, no qué pensar", Margaret Mead,Educación
82,"Vivir sin filosofar es, propiamente, tener los ojos cerrados, sin tratar de abrirlos jamás", René Descartes,Educación
83,Una inversión en conocimiento paga el mejor interés,Benjamin Franklin,Educación
84,"Siempre que enseñes, enseña a la vez a dudar de lo que enseñas",José Ortega y Gasset,Educación
85,La mejor arma contra la ignorancia es el estudio,Rafael Escandón.,Educación
86,La educación genera confianza. La confianza genera esperanza. La esperanza genera paz,Confucio,Educación
87,El amor es el anhelo de salir de uno mismo, Charles Baudelaire,El Amor
88,Las cartas de amor se empiezan sin saber lo que se va a decir y se terminan sin saber lo que se ha dicho, Jean-Jacques Rousseau,El Amor
89,"Ven a dormir conmigo: no haremos el amor, él nos lo hará", Julio Cortázar,El Amor
90,"No amas a alguien porque sea perfecto, lo amas a pesar de que no lo sea", Jodie Picoult,El Amor
91,"Verás, hasta que te conocí, sólo había experimentado el deseo. El amor, nunca", Pierre Choderlos de Laclos,El Amor
92,"El amor no tiene cura, pero es la única cura para todos los males", Leonard Cohen,El Amor
93,Escoge una persona que te mire como si fueses magia, Frida Kahlo,El Amor
94,"Temer al amor es temer a la vida, y los que temen a la vida ya están medio muertos", Bertrand Russell,El Amor
95,Sabes que estás enamorado cuando no quieres acostarte porque la realidad es por fin mejor que tus sueños, Dr. Seuss,El Amor
96,"Yo me enamoré de sus demonios. Ella, de mi oscuridad. Éramos el infierno perfecto", Mario Benedetti,El Amor
97,El amor es el deseo de encontrar a la mitad perdida de nosotros mismos, Milan Kundera,El Amor
98,"La raíz de todas las pasiones es el amor. De él nace la tristeza, el gozo, la alegría y la desesperación", Lope de Vega,El Amor
99,El amor es invisible y entra y sale por donde quiere sin que nadie le pida cuenta de sus hechos, Miguel de Cervantes,El Amor
100,Hay amores tan bellos que justifican todas las locuras que hacen cometer, Plutarco,El Amor
101,Ni la ausencia ni el tiempo son nada cuando se ama, Alfred de Musset,El Amor
102,"El amor es como la música, la pintura, los libros… no se busca, se encuentra", Miguel de Cervantes,El Amor
103,"El amor de los jóvenes en verdad no está en su corazón, sino más bien en sus ojos", William Shakespeare,El Amor
104,Hay besos que en los labios dejan huellas como un campo de sol entre dos hielos, Gabriela Mistral,El Amor
105,"El amor es la alegría de los buenos, la reflexión de los sabios, el asombro de los incrédulos", Platón,El Amor
106,Lo que se hace por amor está más allá del bien y del mal, Friedrich Nietzsche,El Amor
107,La vida es la flor de la que el amor es la miel, Victor Hugo,El Amor
108,El amor es mejor maestro que el deber, Albert Einstein,El Amor
109,"El amor, por no tener geografía, no conoce límites", Truman Capote,El Amor
110,El amor es una flor que debes dejar crecer, John Lennon,El Amor
111,El crimen del amor es el olvido, Maurice Chevalier,El Amor
112,Amamos porque esa es la única gran aventura, Nikki Giovanni,El Amor
113,El amor es la poesía de los sentidos, Honoré de Balzac,El Amor
114,Amar no es mirarse el uno al otro; es mirar juntos en la misma dirección, Antoine de Saint-Exupéry,El Amor
115,El amor conquista todas las cosas. Démosle paso al amor, Virgilio,El Amor
116,La medida del amor es amar sin medida, San Agustín,El Amor
117,Quiero llenar mi boca con tu nombre, Pablo Neruda,El Amor
118,"El amor intenso no mide, sino que simplemente da", Teresa de Calcuta,El Amor
119,"Si no tardas mucho, te espero toda la vida", Oscar Wilde,El Amor
120,"El amor verdadero es el que no atosiga, no aísla, no rechaza, no persigue, solamente acepta", Antonio Gala,El Amor
121,Haz el amor y no la guerra, John Lenon,El Amor
122,"Te quiero no por quien eres, sino por quien soy cuando estoy contigo",Gabriel García Márquez,El Amor
123,"Si tuviera que volver a comenzar mi vida, intentaría encontrarte mucho antes",Antoine de Saint-Exupéry,El Amor
124,"Pienso, luego existo", René Descartes,Filósofos
125,El conocimiento es poder, Francis Bacon,Filósofos
126,El fin último de la vida es la felicidad, Aristóteles,Filósofos
127,La vida sin examen no merece ser vivida, Sócrates,Filósofos
128,La duda es el origen de la sabiduría, René Descartes,Filósofos
129,El hombre es la medida de todas las cosas, Protágoras,Filósofos
130,No hay nada permanente excepto el cambio, Heráclito,Filósofos
131,"Inteligencia: conócete, acéptate, supérate", San Agustín,Filósofos
132,"La ignorancia, la raíz y el tallo de todos los males", Platón,Filósofos
133,En el estudio no existe la saciedad, Erasmo de Rotterdam,Filósofos
134,La vida es sólo la muerte aplazada, Arthur Schopenhauer,Filósofos
135,"Lo que no te mata, te hace más fuerte", Friedrich Nietzsche,Filósofos
136,No hay viento favorable para quien no sabe a dónde va, Séneca,Filósofos
137,Nuestro carácter es el resultado de nuestra conducta, Aristóteles,Filósofos
138,Nada es suficiente para quien considera poco como suficiente, Epicuro,Filósofos
139,La verdadera sabiduría está en reconocer la propia ignorancia, Sócrates,Filósofos
140,"La verdadera riqueza no consiste en tener muchas posesiones, sino en tener pocos deseos", Epicteto,Filósofos
141,"No es lo que te ocurre, sino cómo reaccionas, eso es lo que importa", Epicteto,Filósofos
142,El amor es un acto de infinita paciencia, Jean-Paul Sartre,Filósofos
143,Todo hombre es un poeta cuando está enamorado, Platón,Filósofos
144,"La amistad es animal de compañía, no de rebaño", Plutarco,Filósofos
145,La felicidad es un ideal de la imaginación, Immanuel Kant,Filósofos
146,La verdadera felicidad consiste en hacer el bien, Aristóteles,Filósofos
147,"El amor no tiene edad, siempre está naciendo", Blaise Pascal,Filósofos
148,No dejes crecer la hierba en el camino de la amistad, Sócrates,Filósofos
149,"De todas las posesiones, la amistad es la más valiosa", Heródoto,Filósofos
150,La amistad duplica las alegrías y divide las angustias por la mitad, Francis Bacon,Filósofos
